"Session Monday 28 September 2026 - 09:30 - 10:30 - Keynote speaker - Prof John H. L. Hansen Keynote Monday 28 September 2026 - 11:00-13:00 - Area 1 - Oral 1 - Model of Speech Perception","Paper ID ","Time 09:30 - 10:30  ","Paper Title Balancing Speech, Language and Hearing Science with Machine Learning Modeling in the Age of AI: “Know your Problem, Data, and Solution ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c1 tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 11:00-13:00 - Area 7 - Oral 3 - Scaling and Zero-Shot Speech Synthesis","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","1069","11:00-11:20","Learning to Rescale: On-the-Fly Sequence Length Adaptation in Non-Autoregressive Speech Synthesis","Jiawei Jin","Non-autoregressive (NAR) text-to-speech (TTS) models excel in parallel inference and style consistency. However, their reliance on accurate character-level or global duration predictions remains a critical bottleneck, limiting both synthesis fidelity and naturalness. This paper proposes ElasticDLM (Elastic-length Diffusion Language Model), a novel variable-length NAR TTS model that eliminates the strong dependency on accurate duration predictions. We introduce two functional tokens, along with a Differentiated Length-Scaling Training Scheme (DLTS) and a Hierarchical Confidence-Guided Inference (HCGI) strategy tailored for speech characteristics, enabling the model to learn length-scaling features and automatically adjust sequence length during inference. Experiments show that ElasticDLM produces high-fidelity, natural speech from arbitrary-length inputs, demonstrating a more flexible and simplified approach to high-quality speech synthesis. Audio samples are available at https://thuhcsi.github.io/ElasticDLM/.","Jiawei Jin(Tsinghua University); Ren Wang(Tsinghua University); Zhiyu Cui(AntGroup); Shun Lei(Tsinghua University); Yixuan Zhou(Tsinghua University); Zhiyong Wu(Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Oral","3256","11:20-11:40","OmniVoice: Towards Omnilingual Zero-Shot Text-to-Speech with Diffusion Language Models","Han Zhu","We present OmniVoice, a massively multilingual zero-shot text-to-speech (TTS) model that scales to over 600 languages. At its core is a novel diffusion language model-style discrete non-autoregressive (NAR) architecture. Unlike conventional discrete NAR models that suffer from performance bottlenecks in complex two-stage (text-to-semantic-to-acoustic) pipelines, OmniVoice directly maps text to multi-codebook acoustic tokens. This simplified approach is facilitated by two key technical innovations: (1) a full-codebook random masking strategy for efficient training, and (2) initialization from a pre-trained LLM to ensure superior intelligibility. By leveraging a 581k-hour multilingual dataset curated entirely from open-source data, OmniVoice achieves the broadest language coverage to date and delivers state-of-the-art performance across Chinese, English, and diverse multilingual benchmarks. Our code and pre-trained models are publicly available.","Han Zhu(Xiaomi); Lingxuan Ye(Xiaomi); Wei Kang(Xiaomi); Zengwei Yao(Xiaomi); Liyong Guo(Xiaomi); Fangjun Kuang(Xiaomi); Zhifeng Han(Xiaomi); Weiji Zhuang(Xiaomi); Long Lin(Xiaomi); Daniel Povey(Xiaomi)","","","","","","","","","","","","","","","","","","",""
"Oral","943","11:40-12:00","WAND: Windowed Attention and Knowledge Distillation for Efficient Autoregressive Text-to-Speech Models","Hanna Lee","Recent decoder-only autoregressive text-to-speech (AR-TTS) models produce high-fidelity speech, but their memory and compute costs scale quadratically with sequence length due to full self-attention. In this paper, we propose WAND, Windowed Attention and Knowledge Distillation, a framework that adapts pretrained AR-TTS models to operate with constant computational and memory complexity. WAND separates the attention mechanism into two: persistent global attention over conditioning tokens and local sliding-window attention over generated tokens. To stabilize fine-tuning, we employ a curriculum learning strategy that progressively tightens the attention window. We further utilize knowledge distillation from a full-attention teacher to recover high-fidelity synthesis quality with high data efficiency. Evaluated on three modern AR-TTS models, WAND preserves the original quality while achieving up to 66.2% KV cache memory reduction and length-invariant, near-constant per-step latency.","Hanna Lee(Korea Advanced Institute of Science and Technology); Tan Dat Nguyen(Korea Advanced Institute of Science and Technology); Jaehoon Kang(Sungkyunkwan University); Kyuhong Shim(Sungkyunkwan University)","","","","","","","","","","","","","","","","","","",""
"Oral","1757","12:00-12:20","VoiceTTA: Enhancing Zero-Shot Text-to-Speech via Reinforcement Learning-Based Test-Time Adaptation","Li Liu","Recently, zero-shot text-to-speech (TTS) has enabled high-fidelity and expressive speech synthesis, but it often fails to imitate unseen speaking styles from uncommon scenarios (e.g., crosstalk, dialects). Moreover, fine-tuning pretrained models requires large, high-quality datasets, limiting rapid personalization. We propose VoiceTTA, a reinforcement learning-based test-time adaptation (TTA) method that improves voice imitation of pretrained zero-shot TTS models. VoiceTTA introduces two style rewards based on coefficient-of-variation differences of F0 and energy, combined with speaker similarity and intelligibility (WER from a pretrained Whisper model), and optimizes learnable prefixes via group relative preference optimization (GRPO) in a flow matching-based model at inference time. Extensive experiments demonstrate substantial improvements on uncommon speech prompts, outperforming state-of-the-art baselines. Audio samples are available at https: //voicetta.pages.dev/.","Tianxin Xie(The Hong Kong University of Science and Technology (Guangzhou)); Chenxing Li(Tencent); Dong Yu(Tencent); Li Liu(The Hong Kong University of Science and Technology (Guangzhou))","","","","","","","","","","","","","","","","","","",""
"Oral","1269","12:20-12:40","ZeSTA: Zero-Shot TTS Augmentation with Domain-Conditioned Training for Data-Efficient Personalized Speech Synthesis","Youngwon Choi","We investigate the use of zero-shot text-to-speech (ZS-TTS) as a data augmentation source for low-resource personalized speech synthesis. While synthetic augmentation can provide linguistically rich and phonetically diverse speech, naively mixing large amounts of synthetic speech with limited real recordings often leads to speaker similarity degradation during fine-tuning. To address this issue, we propose ZeSTA, a simple domain-conditioned training framework that distinguishes real and synthetic speech via a lightweight domain embedding, combined with real-data oversampling to stabilize adaptation under extremely limited target data, without modifying the base architecture. Experiments on LibriTTS and an in-house dataset with two ZS-TTS sources demonstrate that our approach improves speaker similarity over naive synthetic augmentation while preserving intelligibility and perceptual quality. Audio samples are available on our web page1.","Youngwon Choi(Maum AI Inc.); Jinwoo Oh(Humelo Inc.); Hwayeon Kim(Maum AI Inc.); Hyeonyu Kim(Maum AI Inc.)","","","","","","","","","","","","","","","","","","",""
"Oral","409","12:40-13:00","Dual-Space Constrained Face-Based Zero-Shot Text-to-Speech Synthesis","Ju Zhang","A human face conveys rich cues about speaker identity, enabling face-based zero-shot text-to-speech (TTS) for unseen speakers. However, in modular face-based TTS systems, the acoustic model is typically trained on speech-derived embeddings, while face-derived representations are introduced only at inference time, often resulting in identity drift. We propose Dual-Space Constrained TTS (DSC-TTS), a modular framework that enforces identity consistency during acoustic model training in both the speaker embedding space and a shared identity space learned through face-voice alignment. By constraining representations across these complementary spaces, the proposed framework improves speaker identity stability while preserving speech quality. Experiments demonstrate higher speaker similarity and stronger identity consistency than existing face-based TTS methods.","Jianrong Wang(Tianjin University); Shengjie Zhou(Tianjin University); Ju Zhang(Tianjin University of Technology); Dengcheng Hu(Tianjin University); Qi Li(Tianjin University)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 11:00-13:00 - Area 8 - Oral 5 - Multi-Talker ASR & Speaker Diarization","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","443","11:00-11:20","Mind the Gap: Impact of Synthetic Conversational Data on Multi-Talker ASR and Speaker Diarization","Alexander Polok","Recent breakthroughs in multi-talker ASR (MT-ASR) and speaker diarization (SD) rely on synthetic data to mitigate the scarcity of large-scale conversational recordings, yet the impact of specific simulation choices remains poorly understood. To mind the gap between simulated mixtures and real-world interactions, we present a study of synthetic data generation for leading MT-ASR (DiCoW) and SD (Sortformer) systems. By introducing FastMSS, a highly efficient open-source simulator, we analyze turn-taking dynamics, source domain, acoustic augmentation, and data mixing strategies. Our findings reveal that optimal simulation recipes are highly task-dependent: increasing speech overlap benefits ASR but degrades diarization. Furthermore, broad source diversity consistently outperforms exact domain matching. Ultimately, synthetic-only training approaches real-data baselines, and combining simulated data with real recordings yields substantial gains over real-only training across both tasks.","Alexander Polok(Brno University of Technology; Carnegie Mellon University); Ivan Medennikov(NVIDIA); Jan Černocký(Brno University of Technology); Shinji Watanabe(Carnegie Mellon University); Lukáš Burget(Brno University of Technology); Samuele Cornell(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","",""
"Oral","445","11:20-11:40","Grounding Spoken LLMs in Multi-Speaker Audio via Diarization Conditioning","Alexander Polok","We propose diarization-conditioned spoken language models (SLMs), a strategy for extending SLMs to far-field multi-talker audio. Rather than adapting the decoder via Serialized Output Training, which risks catastrophic forgetting, we condition the acoustic encoder on diarization masks to extract target-speaker representations, keeping the decoder frozen. We instantiate this as Dixtral, integrating a Diarization Conditioned Whisper (DiCoW) encoder into the Voxtral SLM. On AMI, NOTSOFAR-1, LibriSpeechMix, and Mixer6, Dixtral outperforms Gemini 3.0 Flash, VibeVoice, and Voxtral Mini Transcribe V2 on speaker-attributed transcription by 29.0%, 19.8%, and 16.0% absolute cpWER respectively. On a novel long-form multi-speaker QA benchmark, zero-shot Dixtral matches Gemini on far-field content understanding, and when fine-tuned surpasses both Gemini and Voxtral operating on close-talk across all tasks.","Alexander Polok(Brno University of Technology; Carnegie Mellon University); Samuele Cornell(Carnegie Mellon University); Sathvik Udupa(Brno University of Technology); Jan Černocký(Brno University of Technology); Shinji Watanabe(Carnegie Mellon University); Lukáš Burget(Brno University of Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","1022","11:40-12:00","GLAD: Global-Local Aware Dynamic Mixture-of-Experts for Multi-Talker ASR","Yujie Guo","End-to-end multi-talker automatic speech recognition (MTASR) faces significant challenges in accurately transcribing overlapping speech. A critical bottleneck is that speaker-specific acoustic characteristics, which are essential for distinguishing overlapping speech, are often diluted in deep network layers. To address this, we propose the Global-Local Aware Dynamic Mixture-of-Experts (GLAD) architecture. GLAD introduces a novel routing mechanism that dynamically fuses speaker-aware global context with fine-grained local acoustic details to adaptively guide expert selection. Experiments on the LibriSpeechMix and CH109 datasets demonstrate that GLAD significantly outperforms existing Serialized Output Training (SOT)-based MTASR approaches, exhibiting exceptional robustness in challenging, high-overlap scenarios. To the best of our knowledge, this is the first work to apply a global-local fusion MoE strategy to MTASR.","Yujie Guo(Nankai University); Jiaming Zhou(Nankai University); Yuhang Jia(Nankai University); Shiwan Zhao(Nankai University); Yong Qin(Nankai University)","","","","","","","","","","","","","","","","","","",""
"Oral","1604","12:00-12:20","Speaker-Aware Hypothesis Clustering and Merging for Target-Speaker-free and Target-Speaker Multi-Talker ASR","Yosuke Kashiwagi","Multi-talker automatic speech recognition (ASR) has attracted increasing attention for overlapping speech scenarios. Hypothesis Clustering and Merging (HCM) achieves strong performance by clustering hypotheses in transcript space, but it does not explicitly consider speaker identity during clustering. As a result, HCM may fail when multiple speakers utter identical content and may not fully utilize enrollment information in target-speaker settings. In this paper, we incorporate continuous speaker embeddings into the HCM framework by redefining the clustering distance in joint transcript-speaker space. The proposed method improves robustness in target-speaker-free scenarios under identical-content conditions and enables more effective use of enrollment information in target-speaker multi-talker ASR. Experimental results show consistent improvements over conventional HCM, achieving up to 46% relative WER reduction under identical-content conditions while maintaining competitive performance on LibriMix benchmarks. In addition, the proposed speaker-aware formulation improves target-speaker multi-talker ASR by enabling embedding-based speaker selection, achieving 23% WER reductions compared to discrete speaker-ID prompting.","Yosuke Kashiwagi(Sony Group Corporation); Osamu Take(Sony Group Corporation); Hayato Futami(Sony Group Corporation); Emiru Tsunoo(Sony Group Corporation); Siddhant Arora(Carnegie Mellon University); Shinji Watanabe(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","",""
"Oral","2005","12:20-12:40","Pushing the Boundaries of Streaming Multi-Speaker ASR: A Systematic Study of Architectural Trade-offs","Taejin Park","Streaming multi-speaker ASR is a challenging task that must balance accuracy, latency, and efficiency while handling overlapping speech and maintaining coherent long-context modeling over extended conversations in an online fashion. We present a unified framework that categorizes streaming multi-speaker ASR into four architectural strategies based on how diarization and ASR are integrated. Using a shared pair of open-source streaming ASR and diarization models as a common foundation, we derive four multi-speaker ASR systems that differ in whether they employ multiple model instances, fine-tuning, or both. We evaluate these systems across multi-speaker accuracy, single-speaker accuracy degradation, memory footprint, and training complexity. Through this systematic architectural analysis, we clarify the design space for streaming multi-speaker ASR and provide practical guidance for selecting the most suitable approach under diverse deployment constraints.","Taejin Park(NVIDIA;); Ivan Medennikov(NVIDIA;); Kunal Dhawan(NVIDIA;); Weiqing Wang(NVIDIA;); Jagadeesh Balam(NVIDIA;); Boris Ginsburg(NVIDIA;)","","","","","","","","","","","","","","","","","","",""
"Oral","2912","12:40-13:00","Who Spoke What When? Evaluating Spoken Language Models for Conversational ASR with Semantic and Overlap-Aware Metrics","Naohiro Tawara","Conversational automatic speech recognition remains challeng-ing due to overlapping speech, far-field noise, and varying speaker counts. While recent LLM-based systems perform well on single-speaker benchmarks, their robustness in multi-speaker settings is unclear. We systematically compare LLM-based and modular pipeline approaches along four axes: overlap robustness, semantic fidelity speaker count, and single- versus multi-channel input. To capture meaning-altering errors that conventional metrics miss, we introduce tcpSemER, which extends tcpWER by replacing Levenshtein distance with embedding-based semantic similarity. We further decompose tcpWER into overlapping and non-overlapping components for finer-grained analysis. Experiments across three datasets show that LLM-based systems are competitive in two-speaker settings but degrade as speaker count and overlap increase, whereas modular pipelines remain more robust.","Naohiro Tawara(NTT, Inc.); Samuele Cornell(Carnegie Mellon University); Alexander Polok(Carnegie Mellon University; Brno University of Technology); Marc Delcroix(NTT, Inc.); Lukáš Burget(Brno University of Technology); Shinji Watanabe(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 11:00-13:00 - Area 9 - Oral 4 - Search Methods and Inference Algorithms","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","3220","11:00-11:20","Constrained CTC decoding for Efficient Diacritic Restoration","Rufael Marew","In this work, we address diacritic restoration for Arabic speech transcripts. Most speech data are undiacritized, limiting the ability of modeling fine-grained phonological distinctions. The speech modality has recently been explored as a way to complement text-based diacritic restoration efforts. We propose an efficient non-autoregressive approach for speech-to-text diacritization based on Connectionist Temporal Classification (CTC). Our method incorporates hard constraints during decoding by constructing a character-level diacritization lattice from an undiacritized transcript and restricting hypotheses to valid diacritized realizations. We evaluate on Classical Arabic and Modern Standard Arabic test sets (namely, ArVoice and ClArTTS) against a more computationally-complex multi-modal diacritic restoration baseline, and show statistically significant reductions in diacritic error rates in both, demonstrating that the proposed approach offers both performance and efficiency gains.","Rufael Marew(Mohamed Bin Zayed University of Artificial Intelligence); Amr Keleg(Mohamed Bin Zayed University of Artificial Intelligence); Hanan Aldarmaki(Mohamed Bin Zayed University of Artificial Intelligence)","","","","","","","","","","","","","","","","","","",""
"Oral","3058","11:20-11:40","Whisper-CD: Accurate Long-Form Speech Recognition using Multi-Negative Contrastive Decoding","Hoseong Ahn","Long-form speech recognition with large encoder-decoder models such as Whisper often exhibit hallucinations, repetition loops, and content omissions. These errors can accumulate and be further amplified when the previous segment's transcription is used as decoding context. We propose Whisper-CD, a training-free contrastive decoding framework that contrasts clean-audio logits against negative logits computed from three acoustically motivated perturbations: Gaussian noise injection, silence signal, and audio temporal shift. We aggregate these negatives via the log-sum-exp operator, building a unified multi-negative objective for token-by-token decoding. Across five English long-form benchmarks, Whisper-CD reduces WER by up to 24.3 pp on CORAAL and shows 48% faster token generation throughput than beam search. Because Whisper-CD operates purely at inference time, it can be applied as a drop-in replacement to already-deployed Whisper systems without retraining.","Hoseong Ahn(Sungkyunkwan University); Jeongyun Chae(Sungkyunkwan University); Yoonji Park(Sungkyunkwan University); Kyuhong Shim(Sungkyunkwan University)","","","","","","","","","","","","","","","","","","",""
