"Session Thursday 1 October 2026 - 09:00-11:00 - Area 1 - Oral 4 - Modeling Articulation Survey Talk","Paper ID Surv-01-1","Time 09:00-09:40","Paper Title Bio-Informed Speech Processing, Modeling, and Generation","Presenting Author Yu Tsao","Abstract Conventional speech technologies rely primarily on acoustic signals, without explicitly accounting for the biological mechanisms underlying human speech production and perception. This survey examines bio-informed speech processing, modeling, and generation by integrating physiological signals with modern machine learning. We investigate how multimodal articulatory dynamics can enable robust motor-control representations and silent-speech interfaces. We further explore how neural markers and individualized hearing profiles can guide perceptual optimization, enhance speech quality, and maximize intelligibility. Grounding computational models in articulatory, muscular, and neuroauditory mechanisms establishes a transformative paradigm for next-generation assistive hearing devices, speech synthesis, and personalized communication systems across diverse speakers, communication environments, clinical needs, and application scenarios.","Authors ","CN tbhead2 bg-c2 ","","","","","","","","","","","","","","","","","",""
"Poster","228","09:00-11:00","Stabilizing Short Duration Speaker Verification through Neural Re-scoring with Hybrid Enrollment","Zhiqi Ai","Short-duration speaker verification (SDSV) is crucial for personalized keyword spotting, where test utterances are typically shorter than three seconds. Limited speech duration results in unstable speaker representations and increased sensitivity to noise and phoneme variations, thereby degrading performance. To investigate this issue, we construct VoxPhrase, a large-scale SDSV corpus automatically segmented from the VoxCeleb dataset. Our analysis shows that text-dependent (TD) enrollment is constrained by duration and yields unstable speaker representations. In contrast, although text-independent (TI) enrollment introduces content mismatch, its representations become more stable as the enrollment duration increases. Accordingly, we propose a hybrid-enrollment neural re-scoring framework that combines TD and TI enrollment and performs frame-level comparison via parallel cross-attention. Experiments on VoxPhrase demonstrate consistent improvements across multiple speaker models.","Zhiqi Ai(Shanghai University); Cheng Han(Shanghai University); Shiyi Mu(Shanghai University); Zhiyong Chen(Hithink RoyalFlush AI Research Institute); Yongjin Zhou(Shanghai University); Shugong Xu(Xi’an Jiaotong Liverpool University)","","","","","","","","","","","","","","","","","","",""
"Poster","3449","09:00-11:00","VieSpeaker: A Large-Scale Vietnamese Speaker Recognition Dataset Beyond Visual Dependency","Viet Hoang Pham","Speaker recognition has advanced rapidly with large-scale training datasets, yet Vietnamese remains under-resourced, with existing corpora limited in scale and acoustic diversity. Most large-scale datasets rely on facial cues to link speech with speaker identities, restricting data collection to recordings where speakers appear on camera. We propose a face-independent dataset construction pipeline and introduce VieSpeaker, a large-scale Vietnamese speaker recognition dataset. Our approach leverages textual metadata and large language model reasoning to infer speaker identities from transcripts and contextual information. VieSpeaker contains approximately 902 hours of speech from 4,715 speakers. Experiments show that models trained on VieSpeaker achieve improved robustness and generalization compared to existing Vietnamese datasets. This work demonstrates the feasibility of face-independent dataset construction and provides a new direction for building large-scale speech resources.","Viet Hoang Pham(Hanoi University of Science and Technology); Tran Trung Nguyen(Hanoi University of Science and Technology); Bao Thu Ho(Hanoi University of Science and Technology); Phuong Tuan Dat(Hanoi University of Science and Technology); Thi Thu Trang Nguyen(Hanoi University of Science and Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","2193","09:00-11:00","Confusion-Transport Pruning: Optimal-Transport Redundancy and CKA Geometry Distillation for Hard-Set Robust Speaker Verification","","","","","","","","","","","","","","","","","","","","","",""
"Poster","3166","09:00-11:00","Function words: a topic independent approach to word n-gram selection for forensic speaker comparison","Michael Carne","This paper highlights an issue with likelihood ratio-based forensic speaker comparison (LR-based FSC) systems that exploit speaker idiosyncrasies in word choice. A baseline experiment using word n-gram features from speech transcripts of 104 Australian male speakers achieves a Cllr of 0.60. However, it is shown that topic dependent terms are included in the feature set, which may bias the result. In turn, this may lead to an overestimation of the strength of evidence obtainable from word n-gram based features. A simple but novel approach to circumventing this problem using function words is presented and evaluated. An explicitly defined features set of 156 function words is shown to yield a Cllr of 0.83. Subsequent evaluation of five filter based feature selection methods applied to the set demonstrates an notable improvement in performance when using the ANOVA F-ratio procedure (Cllr = 0.78). This result is coupled with a substantial reduction in dimension size to k= 50 features.","Michael Carne(Australian National University)","","","","","","","","","","","","","","","","","","",""
"Poster","1004","09:00-11:00","Codec-induced Mismatch, Speech Duration, and Speaker-dependent Effect in a DNN-based Forensic Speaker Recognition System","Guangmou Deng","The performance of forensic automatic speaker recognition (FASR) systems under the combined effects of codec-induced mismatch and different questioned-speech (QS) durations remains insufficiently understood, particularly at the individual speaker level. This study investigates the combined impact of representative lossy speech codecs (G.711 A-law, AMR-NB, and Opus) and QS duration on a DNN (ResNet34-MHA)-based FASR system. System-level performance was generally good across all codec conditions, especially with &gt;30s speech. Codec effects vary, however, with low-bitrate AMR-NB causing the greatest degradation in performance and Opus having minimal impact. Crucially, individual-level analyses reveal substantial speaker-dependent variability that is obscured by system-level metrics: some speakers exhibit persistently poor or unstable performance, and speakers with poorer overall performance are more sensitive to codec-induced mismatch. These findings demonstrate that promising system-level performance does not guarantee good performance for all speakers and highlights the need for individual-level analysis when testing DNN-based FASR systems.","Guangmou Deng(Hong Kong Polytechnic University); Bruce Xiao Wang(Hong Kong Polytechnic University); Vincent Hughes(University of York)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 5 - Poster 2 - Spatial Audio 4","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","149","09:00-11:00","Addressing random spatial translations in measured microphone directional responses by maximizing finite order energy","Xue Wen","Directional responses measured on real-world devices are disturbed by unknown translations in space, which add uncertainty to spatial signal processing methods that use such data. In this paper we propose the concept of finite order centroid, which is the translation that maximizes directional response energy in finite order spatial harmonics. The centroid is calculated from the measured response as a second translation, to the effect that it cancels any random perturbation to the first. This leads to a calibrated directional response that is free from said positioning uncertainty, and has spatio-acoustical guarantees useful for downstream processing. We use several simple tasks to show the use of finite order centroids in spatial signal processing.","Xue Wen(Samsung)","","","","","","","","","","","","","","","","","","",""
"Poster","217","09:00-11:00","Blind Room Impulse Response Identification via Reverberant Speech Spectrum Reconstruction","Pengyu Wang","This paper proposes Rec-RIR for blind room impulse response (RIR) identification. Based on the convolutive transfer function (CTF) approximation, we propose a multi-task deep neural network, which sequentially removes noise and reverberation from speech recording, and estimates the CTF filter by reverberant speech spectrum reconstruction. Subsequently, a pseudo intrusive measurement process is employed to convert the CTF filter into RIR by simulating a common intrusive RIR measurement procedure. Experimental results demonstrate that Rec-RIR achieves state-of-the-art (SOTA) performance in blind RIR identification.","Pengyu Wang(Zhejiang University; Westlake University); Xiaofei Li(Westlake University; Westlake Institute for Advanced Study)","","","","","","","","","","","","","","","","","","",""
"Poster","252","09:00-11:00","Sensitivity Analysis of Generative Spatial Audio Metrics : A Study on Responsiveness, Smoothness, and Symmetry","Purnima Kamath","Evaluating generative spatial audio for First-Order Ambisonics (FOA) remains challenging due to a limited understanding of how metrics respond to changes in spatial parameters such as azimuth and elevation. We propose a framework to analyze metric sensitivity along continuous spatial trajectories, drawing on principles of sensitivity analysis in parametric sound synthesis. Using controlled FOA scenes with increasing scene complexity, we define three desiderata for metric behavior: Responsiveness, Smoothness, and Symmetry. We assess standard distribution-based and sample-based metrics, including Fréchet Audio Distance (FAD), intensity vectors, and acoustic maps. Our findings show that FAD using localization-specific embeddings and acoustic maps yield high Responsiveness and robust Smoothness and Symmetry across conditions, while intensity vectors degrade with increasing scene complexity. This is the first step towards investigating the sensitivity of metrics for generative spatial audio.","Purnima Kamath(New York University); Adrian Roman(New York University); Koichi Saito(Sony AI); Yuki Mitsufuji(Sony AI; Sony Group Corporation; New York University); Juan Bello(New York University)","","","","","","","","","","","","","","","","","","",""
"Poster","531","09:00-11:00","FoleyImmersive: Decoupling What and Where for Video-to-First-Order Ambisonics","Liming Liang","We study immersive video-to-audio (V2A) by generating first-order ambisonics (FOA) from silent field-of-view (FoV) videos. Challenges include sparse semantics in video-FOA corpora and content-geometry entanglement: end-to-end models blur &quot;what&quot; and &quot;where&quot;, while two-stage pipelines trade semantic fidelity for spatial coherence. We present FoleyImmersive and a semantics-augmented dataset, YT-AmbiSem, which augments YT-Ambigen with structured descriptions from Qwen2.5-VL-7B. Stage 1 (WHAT) uses a semantics-first diffusion model with multi-rate cross-frame attention and probabilistic time modulation to generate mono W. Stage 2 (WHERE) spatializes W to XYZ via a complex-STFT U-Net conditioned on per-frame visuals and camera direction; a lightweight directional residual mixer applies view-dependent bottleneck gating to stabilize localization with minimal content drift. We achieve state-of-the-art semantic and spatial metrics. Demo and dataset are available.","Liming Liang(Peking University); Lingfeng Yang(South China University of Technology); Luo Chen(Peking University); Chenxing Li(Tencent AI Lab); Yuexian Zou(Peking University)","","","","","","","","","","","","","","","","","","",""
